model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
O4-mini,Dataset_Encryption_Description,Description_Detailed,0.5792,0.65,0.3393337000652897,0.636,0.3898126055561006,0.38456791639328003,0.16939523665783107,0.276,0.472,0.192,0.28,0.4845063027780503
O4-mini,Dataset_Encryption_Description,Description_Vague,0.5762,0.55,0.3309132212529442,0.616,0.3201178281977773,0.28784117102622986,0.1777984325560771,0.188,0.5,0.152,0.348,0.44815891409888864
O4-mini,Dataset_With_Comments_Description,Description_Simple,0.6577999999999999,0.7,0.29463394237595913,0.724,0.5435313444733619,0.5455605387687683,0.14812076777946137,0.616,0.604,0.472,0.132,0.600665672236681
O4-mini,Dataset_With_Comments_Description,Description_Fewshot,0.6814,0.7,0.2741970824060679,0.78,0.5153899490237236,0.5288004279136658,0.14875615221867927,0.544,0.54,0.432,0.108,0.5983949745118617
O4-mini,Dataset_With_Comments_Description,Description_Reason,0.6406000000000001,0.65,0.2854148559553269,0.724,0.5273458952903748,0.5397325754165649,0.13746213643511487,0.592,0.572,0.444,0.128,0.5839729476451874
O4-mini,Dataset_Without_Comments_Description,Description_Simple,0.6826,0.7,0.28143780840533844,0.772,0.5441544078886509,0.554911196231842,0.14874031731197182,0.644,0.576,0.496,0.08,0.6133772039443255
O4-mini,Dataset_Without_Comments_Description,Description_Reason,0.6826,0.7,0.25974456683441904,0.796,0.531050013422966,0.5369144082069397,0.14111446025138094,0.576,0.564,0.468,0.096,0.606825006711483
O4-mini,Dataset_Without_Comments_Description,Description_Fewshot,0.7008,0.7,0.2713288779322982,0.78,0.512794680416584,0.5265191495418549,0.1449774668411524,0.548,0.576,0.452,0.124,0.606797340208292
O4-mini,Variable_Renaming_Description,Description_Simple,0.6447999999999999,0.7,0.32251040293299066,0.716,0.5319890864491462,0.544585108757019,0.16602925277662753,0.604,0.624,0.472,0.152,0.5883945432245731
O4-mini,Variable_Renaming_Description,Description_Reason,0.6384,0.675,0.30780747229396493,0.684,0.5190650470852852,0.5301952064037323,0.14987364194023606,0.568,0.564,0.408,0.156,0.5787325235426426
O4-mini,Variable_Renaming_Description,Description_Fewshot,0.6446000000000001,0.7,0.30555006136474594,0.72,0.5012350113987922,0.513533741235733,0.1607332969527892,0.528,0.592,0.42,0.172,0.5729175056993961
O4-mini,Variable_Renaming_Description,Description_Detailed,0.6652,0.7,0.2834236405101028,0.736,0.46487252098321913,0.47634588181972504,0.16774977949930664,0.44,0.52,0.348,0.172,0.5650362604916096
O4-mini,Variable_Renaming_Description,Description_Vague,0.6557999999999999,0.7,0.3180508764333153,0.712,0.4098525862284005,0.41528570652008057,0.176828160503353,0.332,0.468,0.256,0.212,0.5328262931142003
Qwen3VL,Data_With_Comments_Description,Description_Reason,0.37,0.35,0.31006450941699215,0.404,0.4580080027617514,0.4505751132965088,0.1676566328154977,0.4,0.532,0.168,0.364,0.4140040013808757
Qwen3VL,Data_With_Comments_Description,Description_Simple,0.3404,0.32499999999999996,0.3025356838457242,0.316,0.46494671343266963,0.47371597588062286,0.18462534686867646,0.452,0.56,0.164,0.396,0.4026733567163348
Qwen3VL,Data_With_Comments_Description,Description_Fewshot,0.3712,0.35,0.3203288310470976,0.408,0.4027720588892698,0.40305323898792267,0.2038676850434477,0.336,0.584,0.164,0.42,0.3869860294446349
