group,problem_id,success_rate,success_count,total_evaluations,lines_of_code,cyclomatic_complexity_total,cyclomatic_complexity_max,density,shannon_entropy,function_count,max_nesting_depth,has_recursion,task_type
failure,p03013,0.1803,53,294,83,22,22,0.26506,3.754845,1,5,0,count
failure,p03325,0.1769,52,294,73,60,60,0.821918,4.826845,1,3,0,max
failure,p02802,0.1769,52,294,103,37,15,0.359223,4.061259,9,5,0,count
failure,p03282,0.1735,51,294,40,50,21,1.25,4.823774,22,7,1,string
failure,p02731,0.1735,51,294,99,26,22,0.262626,3.986451,4,6,0,sum
failure,p03147,0.1667,49,294,103,38,23,0.368932,3.671023,9,7,0,other
failure,p02724,0.1667,49,294,184,54,15,0.293478,3.649726,15,6,1,unique
failure,p02612,0.1667,49,294,28,21,21,0.75,4.154474,1,3,0,other
failure,p02639,0.1633,48,294,183,53,11,0.289617,5.079664,17,4,1,unique
failure,p03469,0.1497,44,294,97,32,11,0.329897,5.009537,10,4,1,string
failure,p02753,0.1429,42,294,109,31,22,0.284404,4.087967,4,6,0,unique
failure,p03242,0.1395,41,294,58,15,15,0.258621,4.413902,1,5,0,string
failure,p03449,0.1395,41,294,36,24,21,0.666667,4.680198,2,4,1,sum
failure,p02390,0.1259,37,294,60,11,11,0.183333,3.731931,1,4,0,other
failure,p03107,0.1259,37,294,70,15,15,0.214286,4.516046,1,6,0,count
failure,p02687,0.1190,35,294,149,45,15,0.302013,3.609833,9,6,1,other
failure,p02717,0.1122,33,294,126,37,11,0.293651,4.500613,12,5,1,other
